outer_fold,method,feature,feature_count,stable_balanced,stable_minority
2,Natural_Global_20,http.request.method,20,True,True
2,Natural_Global_20,http.request.version,20,True,True
2,Natural_Global_20,tcp.dstport,20,True,True
2,Natural_Global_20,tcp.ack,20,True,True
2,Natural_Global_20,mqtt.conack.flags,20,True,False
2,Natural_Global_20,icmp.checksum,20,True,True
2,Natural_Global_20,udp.stream,20,True,False
2,Natural_Global_20,icmp.seq_le,20,True,True
2,Natural_Global_20,tcp.flags,20,True,True
2,Natural_Global_20,tcp.ack_raw,20,True,True
2,Natural_Global_20,tcp.seq,20,True,False
2,Natural_Global_20,tcp.len,20,True,True
2,Natural_Global_20,tcp.checksum,20,False,False
2,Natural_Global_20,mqtt.protoname,20,False,False
2,Natural_Global_20,tcp.connection.syn,20,False,False
2,Natural_Global_20,tcp.connection.rst,20,False,False
2,Natural_Global_20,arp.opcode,20,False,True
2,Natural_Global_20,dns.qry.name,20,False,False
2,Class_Balanced_15,tcp.dstport,15,True,True
2,Class_Balanced_15,tcp.srcport,15,True,True
2,Class_Balanced_15,tcp.ack,15,True,True
2,Class_Balanced_15,http.referer,15,True,False
2,Class_Balanced_15,tcp.len,15,True,True
2,Class_Balanced_15,udp.stream,15,True,False
2,Class_Balanced_15,mqtt.conack.flags,15,True,False
2,Class_Balanced_15,http.request.method,15,True,True
2,Class_Balanced_15,icmp.seq_le,15,True,True
2,Class_Balanced_15,http.request.version,15,True,True
2,Class_Balanced_15,icmp.checksum,15,True,True
2,Class_Balanced_15,tcp.seq,15,True,False
2,Class_Balanced_15,tcp.flags,15,True,True
2,Class_Balanced_15,tcp.ack_raw,15,True,True
2,Class_Balanced_15,tcp.connection.rst,15,False,False
2,CS_SHAP,arp.opcode,18,False,True
2,CS_SHAP,http.referer,18,True,False
2,CS_SHAP,http.request.method,18,True,True
2,CS_SHAP,http.request.version,18,True,True
2,CS_SHAP,icmp.checksum,18,True,True
2,CS_SHAP,icmp.seq_le,18,True,True
2,CS_SHAP,icmp.transmit_timestamp,18,False,True
2,CS_SHAP,mqtt.conack.flags,18,True,False
2,CS_SHAP,tcp.ack,18,True,True
2,CS_SHAP,tcp.ack_raw,18,True,True
2,CS_SHAP,tcp.dstport,18,True,True
2,CS_SHAP,tcp.flags,18,True,True
2,CS_SHAP,tcp.len,18,True,True
2,CS_SHAP,tcp.seq,18,True,False
2,CS_SHAP,tcp.srcport,18,True,True
2,CS_SHAP,udp.port,18,False,True
2,CS_SHAP,udp.stream,18,True,False
2,CS_SHAP,udp.time_delta,18,False,True
3,Full_42,arp.opcode,42,False,True
3,Full_42,arp.hw.size,42,False,False
3,Full_42,icmp.checksum,42,True,True
3,Full_42,icmp.seq_le,42,True,True
3,Full_42,icmp.transmit_timestamp,42,False,True
3,Full_42,http.content_length,42,False,False
3,Full_42,http.request.method,42,True,True
3,Full_42,http.referer,42,True,False
3,Full_42,http.request.version,42,True,True
3,Full_42,http.response,42,False,False
3,Full_42,tcp.ack,42,True,True
3,Full_42,tcp.ack_raw,42,True,False
3,Full_42,tcp.checksum,42,False,False
3,Full_42,tcp.connection.fin,42,False,False
3,Full_42,tcp.connection.rst,42,True,False
3,Full_42,tcp.connection.syn,42,False,True
3,Full_42,tcp.connection.synack,42,False,False
3,Full_42,tcp.dstport,42,True,True
3,Full_42,tcp.flags,42,True,True
3,Full_42,tcp.flags.ack,42,False,False
3,Full_42,tcp.len,42,True,True
3,Full_42,tcp.seq,42,True,False
3,Full_42,tcp.srcport,42,True,True
3,Full_42,udp.port,42,False,True
3,Full_42,udp.stream,42,True,False
3,Full_42,udp.time_delta,42,False,True
3,Full_42,dns.qry.name,42,False,False
3,Full_42,dns.qry.name.len,42,False,False
3,Full_42,dns.qry.qu,42,False,False
3,Full_42,dns.retransmission,42,False,False
3,Full_42,dns.retransmit_request,42,False,False
3,Full_42,mqtt.conack.flags,42,True,False
3,Full_42,mqtt.conflag.cleansess,42,False,False
3,Full_42,mqtt.conflags,42,False,False
3,Full_42,mqtt.hdrflags,42,False,False
3,Full_42,mqtt.len,42,False,False
3,Full_42,mqtt.msgtype,42,False,False
3,Full_42,mqtt.proto_len,42,False,False
3,Full_42,mqtt.protoname,42,False,False
3,Full_42,mqtt.topic,42,False,False
3,Full_42,mqtt.topic_len,42,False,False
3,Full_42,mqtt.ver,42,False,False
3,Natural_Global_20,http.referer,20,True,False
3,Natural_Global_20,tcp.srcport,20,True,True
3,Natural_Global_20,http.request.method,20,True,True
3,Natural_Global_20,http.request.version,20,True,True
3,Natural_Global_20,tcp.dstport,20,True,True
3,Natural_Global_20,tcp.ack,20,True,True
3,Natural_Global_20,mqtt.conack.flags,20,True,False
3,Natural_Global_20,icmp.checksum,20,True,True
3,Natural_Global_20,udp.stream,20,True,False
3,Natural_Global_20,icmp.seq_le,20,True,True
3,Natural_Global_20,tcp.flags,20,True,True
3,Natural_Global_20,tcp.ack_raw,20,True,False
3,Natural_Global_20,tcp.seq,20,True,False
3,Natural_Global_20,tcp.len,20,True,True
3,Natural_Global_20,tcp.checksum,20,False,False
3,Natural_Global_20,mqtt.protoname,20,False,False
3,Natural_Global_20,tcp.connection.rst,20,True,False
3,Natural_Global_20,tcp.connection.syn,20,False,True
3,Natural_Global_20,arp.opcode,20,False,True
3,Natural_Global_20,dns.qry.name,20,False,False
3,Class_Balanced_15,tcp.ack,15,True,True
3,Class_Balanced_15,tcp.srcport,15,True,True
3,Class_Balanced_15,tcp.dstport,15,True,True
3,Class_Balanced_15,http.referer,15,True,False
3,Class_Balanced_15,tcp.len,15,True,True
3,Class_Balanced_15,udp.stream,15,True,False
3,Class_Balanced_15,mqtt.conack.flags,15,True,False
3,Class_Balanced_15,http.request.method,15,True,True
3,Class_Balanced_15,icmp.seq_le,15,True,True
3,Class_Balanced_15,http.request.version,15,True,True
3,Class_Balanced_15,tcp.seq,15,True,False
3,Class_Balanced_15,icmp.checksum,15,True,True
3,Class_Balanced_15,tcp.ack_raw,15,True,False
3,Class_Balanced_15,tcp.flags,15,True,True
3,Class_Balanced_15,tcp.connection.rst,15,True,False
3,CS_SHAP,arp.opcode,20,False,True
3,CS_SHAP,http.referer,20,True,False
3,CS_SHAP,http.request.method,20,True,True
3,CS_SHAP,http.request.version,20,True,True
3,CS_SHAP,icmp.checksum,20,True,True
3,CS_SHAP,icmp.seq_le,20,True,True
3,CS_SHAP,icmp.transmit_timestamp,20,False,True
3,CS_SHAP,mqtt.conack.flags,20,True,False
3,CS_SHAP,tcp.ack,20,True,True
3,CS_SHAP,tcp.ack_raw,20,True,False
3,CS_SHAP,tcp.connection.rst,20,True,False
3,CS_SHAP,tcp.connection.syn,20,False,True
3,CS_SHAP,tcp.dstport,20,True,True
3,CS_SHAP,tcp.flags,20,True,True
3,CS_SHAP,tcp.len,20,True,True
3,CS_SHAP,tcp.seq,20,True,False
3,CS_SHAP,tcp.srcport,20,True,True
3,CS_SHAP,udp.port,20,False,True
3,CS_SHAP,udp.stream,20,True,False
3,CS_SHAP,udp.time_delta,20,False,True
4,Full_42,arp.opcode,42,False,True
4,Full_42,arp.hw.size,42,False,False
4,Full_42,icmp.checksum,42,True,True
4,Full_42,icmp.seq_le,42,True,True
4,Full_42,icmp.transmit_timestamp,42,False,True
4,Full_42,http.content_length,42,False,False
4,Full_42,http.request.method,42,True,True
4,Full_42,http.referer,42,True,False
4,Full_42,http.request.version,42,True,True
4,Full_42,http.response,42,False,False
4,Full_42,tcp.ack,42,True,False
4,Full_42,tcp.ack_raw,42,True,True
4,Full_42,tcp.checksum,42,False,False
4,Full_42,tcp.connection.fin,42,False,False
4,Full_42,tcp.connection.rst,42,False,False
4,Full_42,tcp.connection.syn,42,False,False
4,Full_42,tcp.connection.synack,42,False,False
4,Full_42,tcp.dstport,42,True,True
4,Full_42,tcp.flags,42,True,True
4,Full_42,tcp.flags.ack,42,False,False
4,Full_42,tcp.len,42,True,True
4,Full_42,tcp.seq,42,True,False
4,Full_42,tcp.srcport,42,True,True
4,Full_42,udp.port,42,False,True
4,Full_42,udp.stream,42,True,False
4,Full_42,udp.time_delta,42,False,True
4,Full_42,dns.qry.name,42,False,False
4,Full_42,dns.qry.name.len,42,False,False
4,Full_42,dns.qry.qu,42,False,False
4,Full_42,dns.retransmission,42,False,False
4,Full_42,dns.retransmit_request,42,False,False
4,Full_42,mqtt.conack.flags,42,True,False
4,Full_42,mqtt.conflag.cleansess,42,False,False
4,Full_42,mqtt.conflags,42,False,False
4,Full_42,mqtt.hdrflags,42,False,False
4,Full_42,mqtt.len,42,False,False
4,Full_42,mqtt.msgtype,42,False,False
4,Full_42,mqtt.proto_len,42,False,False
4,Full_42,mqtt.protoname,42,False,False
4,Full_42,mqtt.topic,42,False,False
4,Full_42,mqtt.topic_len,42,False,False
4,Full_42,mqtt.ver,42,False,False
4,Natural_Global_20,http.referer,20,True,False
4,Natural_Global_20,tcp.srcport,20,True,True
4,Natural_Global_20,http.request.method,20,True,True
4,Natural_Global_20,http.request.version,20,True,True
4,Natural_Global_20,tcp.dstport,20,True,True
4,Natural_Global_20,tcp.ack,20,True,False
4,Natural_Global_20,mqtt.conack.flags,20,True,False
4,Natural_Global_20,icmp.checksum,20,True,True
4,Natural_Global_20,udp.stream,20,True,False
4,Natural_Global_20,icmp.seq_le,20,True,True
4,Natural_Global_20,tcp.flags,20,True,True
4,Natural_Global_20,tcp.ack_raw,20,True,True
4,Natural_Global_20,tcp.len,20,True,True
4,Natural_Global_20,tcp.seq,20,True,False
4,Natural_Global_20,tcp.checksum,20,False,False
4,Natural_Global_20,mqtt.protoname,20,False,False
4,Natural_Global_20,tcp.connection.syn,20,False,False
4,Natural_Global_20,tcp.connection.rst,20,False,False
4,Natural_Global_20,arp.opcode,20,False,True
4,Natural_Global_20,dns.qry.name,20,False,False
4,Class_Balanced_15,tcp.srcport,15,True,True
4,Class_Balanced_15,tcp.dstport,15,True,True
4,Class_Balanced_15,tcp.ack,15,True,False
4,Class_Balanced_15,http.referer,15,True,False
4,Class_Balanced_15,tcp.len,15,True,True
4,Class_Balanced_15,http.request.method,15,True,True
4,Class_Balanced_15,mqtt.conack.flags,15,True,False
4,Class_Balanced_15,udp.stream,15,True,False
4,Class_Balanced_15,icmp.seq_le,15,True,True
4,Class_Balanced_15,http.request.version,15,True,True
4,Class_Balanced_15,icmp.checksum,15,True,True
4,Class_Balanced_15,tcp.seq,15,True,False
4,Class_Balanced_15,tcp.flags,15,True,True
4,Class_Balanced_15,tcp.ack_raw,15,True,True
4,Class_Balanced_15,tcp.connection.rst,15,False,False
4,CS_SHAP,arp.opcode,18,False,True
4,CS_SHAP,http.referer,18,True,False
4,CS_SHAP,http.request.method,18,True,True
4,CS_SHAP,http.request.version,18,True,True
4,CS_SHAP,icmp.checksum,18,True,True
4,CS_SHAP,icmp.seq_le,18,True,True
4,CS_SHAP,icmp.transmit_timestamp,18,False,True
4,CS_SHAP,mqtt.conack.flags,18,True,False
4,CS_SHAP,tcp.ack,18,True,False
4,CS_SHAP,tcp.ack_raw,18,True,True
4,CS_SHAP,tcp.dstport,18,True,True
4,CS_SHAP,tcp.flags,18,True,True
4,CS_SHAP,tcp.len,18,True,True
4,CS_SHAP,tcp.seq,18,True,False
4,CS_SHAP,tcp.srcport,18,True,True
4,CS_SHAP,udp.port,18,False,True
4,CS_SHAP,udp.stream,18,True,False
4,CS_SHAP,udp.time_delta,18,False,True
5,Full_42,arp.opcode,42,False,True
5,Full_42,arp.hw.size,42,False,False
5,Full_42,icmp.checksum,42,True,True
5,Full_42,icmp.seq_le,42,True,True
5,Full_42,icmp.transmit_timestamp,42,False,True
5,Full_42,http.content_length,42,False,False
5,Full_42,http.request.method,42,True,True
5,Full_42,http.referer,42,True,False
5,Full_42,http.request.version,42,True,True
5,Full_42,http.response,42,False,False
5,Full_42,tcp.ack,42,True,True
5,Full_42,tcp.ack_raw,42,True,True
5,Full_42,tcp.checksum,42,False,False
5,Full_42,tcp.connection.fin,42,False,False
5,Full_42,tcp.connection.rst,42,False,False
5,Full_42,tcp.connection.syn,42,False,True
5,Full_42,tcp.connection.synack,42,False,False
5,Full_42,tcp.dstport,42,True,True
5,Full_42,tcp.flags,42,True,True
